,run,run,TD,TD,TTC,TTC,CTT,CTT,l,l
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
iForest,74.5,43.445367992456916,2475.9973333333337,183.32657757615706,1541.2512222222217,182.53048664176316,934.7461111111105,33.32581002441273,156.53333333333333,6.133488958243491
