E3TimeStamp
2019-05-05 06:50:27.260
2019-05-05 06:50:29.357
2019-05-05 06:55:26.967
2019-05-06 05:35:18.077
2019-05-06 05:35:19.073
2019-05-06 06:30:35.197
2019-05-09 23:23:05.360
2019-05-09 23:23:07.380
2019-05-09 23:46:54.350
2019-05-10 13:19:07.870
2019-05-10 13:19:09.967
2019-05-22 10:34:19.843
2019-05-22 10:34:20.863
2019-05-22 10:36:19.533
2019-05-22 10:53:31.147
2019-05-22 10:53:31.507
2019-05-22 15:55:30.873
2019-05-25 13:59:50.337
2019-05-25 13:59:52.337
2019-05-25 14:00:11.017
2019-05-31 14:32:14.237
2019-05-31 14:32:15.237
2019-05-31 14:32:15.237
2019-05-31 14:32:16.237
2019-05-31 14:32:17.237
2019-05-31 14:32:17.237
2019-05-31 14:44:37.407
2019-05-31 14:44:37.427
2019-05-31 14:44:37.430
2019-06-04 16:52:25.443
2019-06-04 16:52:27.440
2019-06-04 16:52:27.443
2019-06-04 16:52:27.443
2019-06-04 16:52:29.373
2019-06-04 16:52:29.373
2019-06-04 21:36:08.507
2019-06-04 21:36:08.603
2019-06-04 21:36:08.613
2019-06-30 03:14:38.407
2019-06-30 03:14:40.310
2019-06-30 03:16:38.837
2019-06-30 03:33:58.303
2019-06-30 03:34:00.373
2019-06-30 09:01:40.180
2019-07-09 20:54:47.723
2019-07-09 20:54:49.817
2019-07-09 20:54:49.817
2019-07-09 20:54:51.813
2019-07-09 20:55:18.910
2019-07-09 20:55:18.913
2019-07-10 11:41:53.223
2019-07-10 11:41:55.220
2019-07-10 13:45:06.807
2019-07-10 14:02:16.853
2019-07-10 14:02:17.853
2019-07-10 15:02:38.650
2019-07-11 11:22:02.057
2019-07-11 11:22:04.050
2019-07-11 16:06:28.547
2019-07-12 14:53:37.923
2019-07-12 14:54:30.023
2019-07-12 17:01:56.457
2019-07-16 09:36:31.713
2019-07-16 09:36:33.617
2019-07-16 13:09:54.293
2019-07-19 06:16:10.650
2019-07-19 06:16:12.650
2019-07-19 06:19:52.850
2019-07-22 10:27:59.197
2019-07-22 10:28:01.193
2019-07-22 19:06:42.403
2019-07-30 13:32:45.637
2019-07-30 15:33:25.167
2019-07-30 16:18:11.590
2019-08-02 16:37:31.790
2019-08-02 16:38:25.697
2019-08-02 17:21:51.377
2018-08-17 14:39:57.543
2018-08-17 14:39:59.603
2018-08-17 15:03:07.927
2018-08-24 07:03:32.113
2018-08-24 07:03:32.127
2018-08-24 07:03:32.127
2018-08-24 07:03:33.887
2018-08-24 07:03:33.887
2018-08-24 07:03:33.887
2018-08-24 07:12:37.793
2018-08-24 07:12:37.793
2018-08-24 07:12:37.793
2018-09-15 07:08:23.677
2018-09-15 07:08:23.677
2018-09-15 07:08:23.677
2018-09-15 07:08:23.677
2018-09-15 07:08:23.677
2018-09-15 07:08:23.677
2018-09-15 07:20:19.540
2018-09-15 07:20:19.547
2018-09-15 07:20:19.550
2018-09-19 14:09:12.687
2018-09-19 14:09:12.687
2018-09-19 14:09:14.693
2018-09-19 14:09:14.693
2018-09-19 14:35:32.367
2018-09-19 14:35:32.370
2018-09-20 11:27:48.230
2018-09-20 12:18:46.003
2018-09-20 15:35:55.677
2018-09-22 14:18:39.897
2018-09-22 14:18:40.897
2018-09-22 14:18:40.897
2018-09-22 14:18:41.897
2018-09-22 14:18:42.897
2018-09-22 14:18:42.897
2018-09-22 14:23:53.950
2018-09-22 14:23:53.950
2018-09-22 14:23:53.950
2018-09-25 09:01:54.423
2018-09-25 09:01:56.437
2018-09-25 09:07:54.553
2018-09-25 09:07:54.553
2018-09-25 09:11:14.980
2018-10-20 18:45:36.883
2018-10-20 18:45:39.813
2018-10-20 18:45:39.813
2018-10-20 18:45:40.653
2018-10-20 18:45:42.653
2018-10-20 18:45:42.657
2018-10-20 18:48:43.327
2018-10-20 18:48:43.327
2018-10-20 18:48:43.327
2018-10-20 23:33:28.133
2018-10-20 23:33:31.037
2018-10-20 23:33:32.063
2018-10-20 23:33:34.200
2018-10-20 23:43:52.613
2018-10-20 23:43:52.613
2018-11-02 01:46:36.590
