,run,run,TD,TD,TTC,TTC,CTT,CTT,l,l
,mean,std,mean,std,mean,std,mean,std,mean,std
model,,,,,,,,,,
Forest,74.5,43.445367992456916,2514.761222222222,86.74523689603156,1504.9085555555546,81.77168948423493,1009.8526666666662,30.932549607251453,170.19333333333333,5.004288988198514
KICA-PCA,74.5,43.445367992456916,2566.506333333333,352.50303764098567,1633.3241111111115,363.449546048015,933.1822222222221,93.9352831598524,111.71333333333334,15.747733049454075
PCA,74.5,43.445367992456916,4008.1666666666683,0.0,3270.383333333345,0.0,737.7833333333358,0.0,118.0,0.0
